date,oil,inflation,employment,iip,gold,libor,cad,m1,pound,lagged_1_oil,lagged_2_oil,lagged_1_inflation,lagged_2_inflation,lagged_1_employment,lagged_2_employment,lagged_1_iip,lagged_2_iip,lagged_1_gold,lagged_2_gold,lagged_1_libor,lagged_2_libor,lagged_1_cad,lagged_2_cad,lagged_1_m1,lagged_2_m1,rolling_mean_oil,rolling_mean_inflation,rolling_mean_employment,rolling_mean_iip,rolling_mean_gold,rolling_mean_libor,rolling_mean_cad,rolling_mean_m1
1971-01-01,26.55,8.8,71.53,58.38125,282.47,8.25,180,1.01851,2.407,26.55,26.55,8.8,8.8,71.53,71.53,58.38125,58.38125,282.47,282.47,8.25,8.25,180,180,1.01851,1.01851,26.3416666666667,8.36166666666667,71.91,58.0981883333333,289.905,7.465,213.333333333333,1.064785
1971-02-01,26.48,8.59,71.63,57.95666,288.19,7.94,180,1.03702,2.41944444444444,26.55,26.55,8.8,8.8,71.53,71.53,58.38125,58.38125,282.47,282.47,8.25,8.25,180,180,1.01851,1.01851,26.3416666666667,8.36166666666667,71.91,58.0981883333333,289.905,7.465,213.333333333333,1.064785
1971-03-01,26.42,8.34,72.2,57.95666,288.42,7.5,216,1.05553,2.42,26.48,26.55,8.59,8.8,71.63,71.53,57.95666,58.38125,288.19,282.47,7.94,8.25,180,180,1.03702,1.01851,26.3416666666667,8.36166666666667,71.91,58.0981883333333,289.905,7.465,213.333333333333,1.064785
1971-04-01,26.35,8.21,72.1,58.16895,288.75,6.94,216,1.07404,2.41909090909091,26.42,26.48,8.34,8.59,72.2,71.63,57.95666,57.95666,288.42,288.19,7.5,7.94,216,180,1.05553,1.03702,26.3416666666667,8.36166666666667,71.91,58.0981883333333,289.905,7.465,213.333333333333,1.064785
1971-05-01,26.22,8.09,72,58.16895,298.43,7.13,216,1.09255,2.42,26.35,26.42,8.21,8.34,72.1,72.2,58.16895,57.95666,288.75,288.42,6.94,7.5,216,216,1.07404,1.05553,26.3416666666667,8.36166666666667,71.91,58.0981883333333,289.905,7.465,213.333333333333,1.064785
1971-06-01,26.03,8.14,72,57.95666,293.17,7.03,272,1.11106,2.42,26.22,26.35,8.09,8.21,72,72.1,58.16895,58.16895,298.43,288.75,7.13,6.94,216,216,1.09255,1.07404,26.3416666666667,8.36166666666667,71.91,58.0981883333333,289.905,7.465,213.333333333333,1.064785
1971-07-01,25.96,7.71,71.9,57.74436,298.65,6.56,272,1.12957,2.42,26.03,26.22,8.14,8.09,72,72,57.95666,58.16895,293.17,298.43,7.03,7.13,272,216,1.11106,1.09255,26.2433333333333,8.18,71.9716666666667,57.99204,292.601666666667,7.18333333333333,228.666666666667,1.083295
1971-08-01,25.9,7.69,71.8,57.63821,310.72,5.94,272,1.14808,2.43529411764706,25.96,26.03,7.71,8.14,71.9,72,57.74436,57.95666,298.65,293.17,6.56,7.03,272,272,1.12957,1.11106,26.1466666666667,8.03,72,57.938965,296.356666666667,6.85,244,1.101805
1971-09-01,25.9,7.47,71.7,57.95666,305.77,6.13,362,1.166589,2.46857142857143,25.9,25.96,7.69,7.71,71.8,71.9,57.63821,57.74436,310.72,298.65,5.94,6.56,272,272,1.14808,1.12957,26.06,7.885,71.9166666666667,57.938965,299.248333333333,6.62166666666667,268.333333333333,1.12031483333333
1971-10-01,25.83,7.24,71.6,58.16895,308.42,5.94,362,1.185099,2.48894736842105,25.9,25.9,7.47,7.69,71.7,71.8,57.95666,57.63821,305.77,310.72,6.13,5.94,362,272,1.166589,1.14808,25.9733333333333,7.72333333333333,71.8333333333333,57.938965,302.526666666667,6.455,292.666666666667,1.13882466666667
